vid	url
sJFgo9H6zNo	https://www.youtube.com/watch?v=sJFgo9H6zNo
V1zhqaGFY2A	https://www.youtube.com/watch?v=V1zhqaGFY2A
JDg--pjY5gg	https://www.youtube.com/watch?v=JDg--pjY5gg
KsFid_YVsn0	https://www.youtube.com/watch?v=KsFid_YVsn0
-TmWR_keSfI	https://www.youtube.com/watch?v=-TmWR_keSfI
u2uoYvo8J5s	https://www.youtube.com/watch?v=u2uoYvo8J5s
0Gr4aKQzGYk	https://www.youtube.com/watch?v=0Gr4aKQzGYk
a-6rpItrRSk	https://www.youtube.com/watch?v=a-6rpItrRSk
--0edUL8zmA	https://www.youtube.com/watch?v=--0edUL8zmA
c_NlYvL96y0	https://www.youtube.com/watch?v=c_NlYvL96y0
hHiPEAiYKv0	https://www.youtube.com/watch?v=hHiPEAiYKv0
GCtrfXIBbwA	https://www.youtube.com/watch?v=GCtrfXIBbwA
rs7er4e67ec	https://www.youtube.com/watch?v=rs7er4e67ec
PLek2e8NlKc	https://www.youtube.com/watch?v=PLek2e8NlKc
_uOfIm1tFcI	https://www.youtube.com/watch?v=_uOfIm1tFcI
0n3VRoYYYGU	https://www.youtube.com/watch?v=0n3VRoYYYGU
x90zpDHTpjQ	https://www.youtube.com/watch?v=x90zpDHTpjQ
T_q3f10pkOg	https://www.youtube.com/watch?v=T_q3f10pkOg
6ZabZdqdLyA	https://www.youtube.com/watch?v=6ZabZdqdLyA
UMVYt6Bgrrs	https://www.youtube.com/watch?v=UMVYt6Bgrrs
yUSo_xjyGhM	https://www.youtube.com/watch?v=yUSo_xjyGhM
Ou24uqaFRPg	https://www.youtube.com/watch?v=Ou24uqaFRPg
Uw_1iNGntZU	https://www.youtube.com/watch?v=Uw_1iNGntZU
sjyZWmvTGA4	https://www.youtube.com/watch?v=sjyZWmvTGA4
c5dvRUBZw2Q	https://www.youtube.com/watch?v=c5dvRUBZw2Q
BxzOUJbq28s	https://www.youtube.com/watch?v=BxzOUJbq28s
Z8yNbpjUSLc	https://www.youtube.com/watch?v=Z8yNbpjUSLc
A1EflBqBv14	https://www.youtube.com/watch?v=A1EflBqBv14
6uhLrPgbpUA	https://www.youtube.com/watch?v=6uhLrPgbpUA
jIQFVSymHQs	https://www.youtube.com/watch?v=jIQFVSymHQs
2U0vMYnC49c	https://www.youtube.com/watch?v=2U0vMYnC49c
t2wawfMaTzM	https://www.youtube.com/watch?v=t2wawfMaTzM
gKkk82LG8H0	https://www.youtube.com/watch?v=gKkk82LG8H0
R-hsYQNtnn0	https://www.youtube.com/watch?v=R-hsYQNtnn0
UvuXGKesWS0	https://www.youtube.com/watch?v=UvuXGKesWS0
thpmgolDsbQ	https://www.youtube.com/watch?v=thpmgolDsbQ
8pR6NBu7Ay0	https://www.youtube.com/watch?v=8pR6NBu7Ay0
